Algorithm: Kruskal's Algorithm
Connected: YES
Edges:
0 1 -4
19 20 -4
38 39 -4
57 58 -4
76 77 -4
95 96 -4
11 12 -3
30 31 -3
49 50 -3
68 69 -3
87 88 -3
0 3 -2
3 4 -2
22 23 -2
41 42 -2
60 61 -2
69 72 -2
79 80 -2
98 99 -2
14 15 -1
21 24 -1
33 34 -1
52 53 -1
71 72 -1
90 91 -1
90 93 -1
6 7 0
25 26 0
42 45 0
44 45 0
63 64 0
82 83 0
0 10 1
17 18 1
36 37 1
55 56 1
63 66 1
74 75 1
93 94 1
9 10 2
15 18 2
28 29 2
47 48 2
66 67 2
84 87 2
85 86 2
1 2 3
20 21 3
36 39 3
39 40 3
58 59 3
77 78 3
96 97 3
12 13 4
31 32 4
50 51 4
57 60 4
69 70 4
88 89 4
4 5 5
9 12 5
23 24 5
42 43 5
61 62 5
78 81 5
80 81 5
15 16 6
30 33 6
34 35 6
53 54 6
72 73 6
91 92 6
7 8 7
26 27 7
45 46 7
51 54 7
64 65 7
83 84 7
3 6 8
18 19 8
56 57 8
72 75 8
75 76 8
94 95 8
24 27 9
29 30 9
48 49 9
67 68 9
86 87 9
40 41 10
45 48 10
80 90 10
97 98 10
13 14 11
89 90 11
60 70 12
35 36 13
50 60 13
27 28 14
Total MST weight: 324
