Algorithm: Kruskal's Algorithm
Connected: YES
Edges:
0 1 -4
0 3 -2
3 4 -2
0 10 1
10 9 2
1 2 3
4 5 5
9 12 5
12 11 -3
12 13 4
3 6 8
6 7 0
7 8 7
13 14 11
14 15 -1
15 18 2
18 17 1
15 16 6
18 19 8
19 20 -4
20 21 3
21 24 -1
24 23 5
23 22 -2
24 27 9
27 26 7
26 25 0
27 28 14
28 29 2
29 30 9
30 31 -3
31 32 4
30 33 6
33 34 -1
34 35 6
35 36 13
36 37 1
36 39 3
39 38 -4
39 40 3
40 41 10
41 42 -2
42 45 0
45 44 0
42 43 5
45 46 7
45 48 10
48 47 2
48 49 9
49 50 -3
50 51 4
51 54 7
54 53 6
53 52 -1
54 55 13
55 56 1
56 57 8
57 58 -4
58 59 3
57 60 4
60 61 -2
61 62 5
62 63 12
63 64 0
63 66 1
66 67 2
64 65 7
67 68 9
68 69 -3
69 72 -2
72 71 -1
69 70 4
72 73 6
72 75 8
75 74 1
75 76 8
76 77 -4
77 78 3
78 81 5
81 80 5
80 79 -2
80 90 10
90 91 -1
90 93 -1
93 94 1
91 92 6
94 95 8
95 96 -4
96 97 3
97 98 10
98 99 -2
90 89 11
89 88 4
88 87 -3
87 84 2
84 83 7
83 82 0
87 86 9
86 85 2
Total MST weight: 324
