Algorithm: Greedy Vertex Coloring
Vertex colors:
0 2
1 1
2 0
3 2
4 1
5 2
6 0
7 1
8 2
9 1
10 0
11 1
12 2
13 1
14 0
15 1
16 0
17 2
18 0
19 1
20 2
21 1
22 0
23 2
24 1
25 0
26 2
27 1
28 2
29 0
30 1
31 2
32 0
33 3
34 1
35 2
36 1
37 3
38 0
39 1
40 0
41 1
42 0
43 1
44 0
45 3
46 2
47 1
48 0
49 1
50 2
51 1
52 2
53 1
54 0
55 1
56 0
57 2
58 0
59 1
60 0
61 1
62 0
63 1
64 0
65 2
66 1
67 0
68 1
69 0
70 1
71 0
72 2
73 3
74 1
75 0
76 2
77 1
78 0
79 1
80 2
81 0
82 1
83 0
84 1
85 0
86 1
87 2
88 0
89 1
90 2
91 3
92 0
93 1
94 3
95 0
96 1
97 0
98 2
99 3
Colors used: 4
Valid: true
Execution time: 0.020300 ms
